,src,rtime,dst,size,sid,mid
0,1,62663,3,992823,1,7
1,1,62734,3,1017206,1,8
2,1,62748,3,993730,1,10
3,1,62766,2,1021550,1,34
4,1,62779,3,988588,1,13
5,1,62784,2,989975,1,35
6,1,62795,3,986792,1,17
7,1,62809,3,1012724,1,21
8,1,62816,2,986950,1,7
9,1,62822,3,1015266,1,22
10,1,62842,3,1022384,1,25
11,1,62843,2,1009197,1,8
12,1,62868,3,1002780,1,28
13,1,62882,2,991002,1,10
14,1,62891,3,1003763,1,33
15,1,62904,2,992875,1,13
16,1,62908,3,1011335,1,34
17,1,62921,2,987973,1,17
18,1,62935,3,986026,1,35
19,1,62936,2,1012427,1,21
20,1,62953,2,1013937,1,22
21,1,62966,2,1021089,1,25
22,1,62967,3,993121,1,7
23,1,62978,2,992171,1,28
24,1,62990,2,1012672,1,33
25,1,63003,2,988789,1,7
26,1,63006,3,1008579,1,8
27,1,63028,3,992752,1,10
28,1,63032,2,1009829,1,8
29,1,63044,3,987507,1,13
30,1,63048,2,986664,1,10
31,1,63071,2,993434,1,13
32,1,63083,2,991650,1,17
33,1,63093,3,995127,1,17
34,1,63094,2,1011291,1,21
35,1,63107,2,1014942,1,22
36,1,63120,2,1026930,1,25
37,1,63130,2,1001018,1,28
38,1,63141,3,1013049,1,21
39,1,63143,2,1005548,1,33
40,1,63155,2,1018360,1,34
41,1,63173,2,989171,1,35
42,1,63181,2,991978,1,7
43,1,63190,2,1015478,1,8
44,1,63202,2,988980,1,10
45,1,63212,2,993422,1,13
46,1,63221,2,989130,1,17
47,1,63255,3,1009198,1,22
48,1,63271,3,1021378,1,25
49,1,63348,3,995220,1,28
50,1,63366,3,1012178,1,33
51,1,63403,3,990108,1,7
52,1,63438,3,1009497,1,8
53,1,63452,3,986714,1,10
54,1,63452,2,1015217,1,21
55,1,63473,3,991481,1,13
56,1,63481,2,1010128,1,22
57,1,63485,3,986263,1,17
58,1,63496,3,1008269,1,21
59,1,63510,3,1009165,1,22
60,1,63513,2,1023726,1,25
61,1,63524,3,1021904,1,25
62,1,63536,3,1004958,1,28
63,1,63559,3,1010583,1,33
64,1,63568,3,1015920,1,34
65,1,63584,3,992033,1,35
66,1,63601,3,1019943,1,34
67,1,63617,3,994768,1,35
68,1,63636,3,987883,1,7
69,1,63646,3,1011723,1,8
70,1,63799,2,992813,1,28
71,1,63811,3,990885,1,10
72,1,63824,3,993669,1,13
73,1,63836,2,1010223,1,33
74,1,63851,2,1019490,1,34
75,1,63860,2,993482,1,35
76,1,63873,2,989051,1,7
77,1,63885,3,989711,1,17
78,1,63887,2,1012108,1,8
79,1,63901,2,994920,1,10
80,1,63916,2,987625,1,13
81,1,63927,3,1011660,1,21
82,1,63928,2,982932,1,17
83,1,63942,2,1009579,1,21
84,1,63953,2,1017337,1,22
85,1,63958,3,1015646,1,22
86,1,63971,3,1019058,1,25
